T_BKT,ordered_probability,amorphous_probability
1.0355276268804423,0.005597,0.994403
1.0355276268804423,0.136644,0.863356
1.0355276268804423,0.003551,0.996449
1.0355276268804423,0.004204,0.995796
1.0355276268804423,0.000168,0.999832
1.0355276268804423,0.928351,0.071649
1.0355276268804423,0.0,1.0
1.0355276268804423,0.106884,0.893116
1.0355276268804423,0.007635,0.992365
1.0355276268804423,0.515057,0.484943
1.0355276268804423,3.2e-05,0.999968
1.0355276268804423,0.399316,0.600684
1.0355276268804423,0.042843,0.957157
1.0355276268804423,0.00521,0.99479
1.0355276268804423,0.20806,0.79194
1.0355276268804423,0.000294,0.999706
1.0355276268804423,0.003991,0.996008
1.0355276268804423,0.00419,0.99581
1.0355276268804423,0.03216,0.96784
1.0355276268804423,0.999913,8.7e-05
1.0355276268804423,1.4e-05,0.999986
1.0355276268804423,2e-05,0.99998
1.0355276268804423,0.000285,0.999715
1.0355276268804423,0.000678,0.999322
1.0355276268804423,0.231368,0.768632
1.0355276268804423,0.901474,0.098526
1.0355276268804423,0.0,1.0
1.0355276268804423,1.2e-05,0.999988
1.0355276268804423,6.9e-05,0.999931
1.0355276268804423,0.003469,0.996531
1.0355276268804423,0.053629,0.946371
1.0355276268804423,0.000581,0.999419
1.0355276268804423,0.010285,0.989715
1.0355276268804423,3.8e-05,0.999962
1.0355276268804423,7e-06,0.999993
1.0355276268804423,0.000233,0.999767
1.0355276268804423,0.000118,0.999882
1.0355276268804423,2.1e-05,0.999979
1.0355276268804423,0.000121,0.999879
1.0355276268804423,0.000144,0.999856
1.0355276268804423,8.4e-05,0.999916
1.0355276268804423,0.961316,0.038684
1.0355276268804423,0.000109,0.999891
1.0355276268804423,5.1e-05,0.999949
1.0355276268804423,6.1e-05,0.999939
1.0355276268804423,0.001044,0.998956
1.0355276268804423,0.05768,0.94232
1.0355276268804423,0.103998,0.896002
1.0355276268804423,0.000236,0.999764
1.0355276268804423,2.1e-05,0.999979
1.0355276268804423,1.6e-05,0.999984
1.0355276268804423,1e-06,0.999999
1.0355276268804423,0.031666,0.968334
1.0355276268804423,0.132137,0.867863
1.0355276268804423,0.000996,0.999004
1.0355276268804423,0.916209,0.083791
1.0355276268804423,0.099634,0.900366
1.0355276268804423,6e-06,0.999994
1.0415276268804423,0.105794,0.894206
1.0415276268804423,0.004714,0.995286
1.0415276268804423,0.003274,0.996726
1.0415276268804423,0.000501,0.999499
1.0415276268804423,4e-05,0.99996
1.0415276268804423,0.012593,0.987407
1.0415276268804423,0.372788,0.627212
1.0415276268804423,0.185903,0.814097
1.0415276268804423,0.009124,0.990876
1.0415276268804423,0.033564,0.966436
1.0415276268804423,2.3e-05,0.999976
1.0415276268804423,1e-06,0.999999
1.0415276268804423,0.049128,0.950872
1.0415276268804423,5.5e-05,0.999946
