# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
1.648697	-0.344267	0.000128	0.074222	0.000899
1.653507	-0.344337	0.000121	0.071863	0.000826
1.658317	-0.342736	0.000126	0.071434	0.000843
1.663126	-0.341642	0.000119	0.071220	0.000835
1.667936	-0.340493	0.000117	0.071810	0.000827
1.672745	-0.339453	0.000113	0.072852	0.000881
1.677555	-0.336875	0.000118	0.071930	0.000866
1.682365	-0.337697	0.000123	0.070318	0.000810
1.687174	-0.335593	0.000117	0.068717	0.000728
1.691984	-0.335013	0.000117	0.070057	0.000757
1.696794	-0.333997	0.000117	0.069545	0.000748
1.701603	-0.332906	0.000121	0.068167	0.000757
1.706413	-0.330198	0.000109	0.068585	0.000751
1.711222	-0.329904	0.000114	0.069749	0.000741
1.716032	-0.328466	0.000114	0.067741	0.000719
1.720842	-0.328639	0.000113	0.068677	0.000744
1.725651	-0.326783	0.000118	0.068193	0.000743
1.730461	-0.325418	0.000107	0.068067	0.000707
1.735271	-0.323819	0.000115	0.067543	0.000706
1.740080	-0.322820	0.000116	0.067453	0.000675
1.744890	-0.321880	0.000112	0.066843	0.000666
1.749699	-0.321141	0.000114	0.065703	0.000651
1.754509	-0.320876	0.000106	0.065916	0.000685
1.759319	-0.319902	0.000111	0.066963	0.000723
1.764128	-0.317843	0.000107	0.065087	0.000619
1.768938	-0.317251	0.000110	0.066517	0.000700
1.773747	-0.315408	0.000101	0.065185	0.000670
1.778557	-0.315415	0.000101	0.063472	0.000610
1.783367	-0.313764	0.000100	0.064866	0.000667
1.788176	-0.312722	0.000102	0.064342	0.000617
1.792986	-0.311350	0.000097	0.064858	0.000611
1.797796	-0.310964	0.000103	0.064838	0.000608
1.802605	-0.309433	0.000106	0.063748	0.000605
1.807415	-0.308689	0.000104	0.064418	0.000630
1.812224	-0.307072	0.000098	0.062319	0.000574
1.817034	-0.306725	0.000097	0.061664	0.000566
1.821844	-0.304646	0.000096	0.061927	0.000597
1.826653	-0.304603	0.000098	0.062325	0.000602
1.831463	-0.304481	0.000093	0.062752	0.000551
1.836273	-0.302514	0.000101	0.062719	0.000589
1.841082	-0.301371	0.000095	0.061853	0.000576
1.845892	-0.300313	0.000093	0.061781	0.000542
1.850701	-0.300075	0.000096	0.061853	0.000548
1.855511	-0.299091	0.000093	0.061653	0.000545
1.860321	-0.299181	0.000094	0.062443	0.000549
1.865130	-0.298111	0.000094	0.061336	0.000540
1.869940	-0.294863	0.000083	0.059459	0.000510
1.874749	-0.296191	0.000089	0.061083	0.000531
1.879559	-0.294093	0.000092	0.060413	0.000518
1.884369	-0.293141	0.000086	0.059825	0.000532
1.889178	-0.293091	0.000082	0.059431	0.000537
1.893988	-0.292375	0.000084	0.058627	0.000486
1.898798	-0.291756	0.000082	0.058231	0.000519
1.903607	-0.290261	0.000087	0.059506	0.000503
1.908417	-0.288154	0.000087	0.059634	0.000498
1.913226	-0.287652	0.000087	0.059144	0.000489
