L_16,L_32,L_64,L_128,L_256
1.146735,1.041021,1.005503,0.975008,0.974464
1.141873,1.036764,1.006291,0.976046,0.973944
1.144519,1.040299,1.009445,0.978925,0.972075
1.142342,1.039947,1.005188,0.974582,0.973441
1.144727,1.033388,1.007244,0.977464,0.976975
1.141142,1.036761,1.006337,0.974187,0.970199
1.140444,1.040241,1.007222,0.972492,0.972864
1.142372,1.039777,1.002713,0.967442,0.974470
1.140913,1.037932,1.004840,0.977173,0.975412
1.145079,1.038641,1.006862,0.972757,0.969992
1.131523,1.038273,1.005638,0.974856,0.971085
1.141143,1.037585,1.005847,0.975499,0.969271
1.140731,1.036384,1.006526,0.975020,0.975462
1.142628,1.040591,1.002454,0.976336,0.970482
1.142729,1.040923,1.007247,0.972675,0.970047
1.140995,1.036395,1.007064,0.972606,0.972384
